<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20150406;000000;11900.0000000;11990.0000000;11660.0000000;11900.0000000;68275
MGNT;D;20150407;000000;11921.0000000;12059.0000000;11815.0000000;12020.0000000;155838
MGNT;D;20150408;000000;12060.0000000;12075.0000000;11856.0000000;11890.0000000;85453
MGNT;D;20150409;000000;11935.0000000;11948.0000000;11310.0000000;11744.0000000;198281
MGNT;D;20150410;000000;11798.0000000;11870.0000000;11560.0000000;11711.0000000;92777
MGNT;D;20150413;000000;11736.0000000;12300.0000000;11662.0000000;12300.0000000;179381
MGNT;D;20150414;000000;12191.0000000;12200.0000000;11801.0000000;11801.0000000;117225
MGNT;D;20150415;000000;11839.0000000;11948.0000000;11600.0000000;11870.0000000;129506
MGNT;D;20150416;000000;11913.0000000;11941.0000000;11600.0000000;11600.0000000;109634
MGNT;D;20150417;000000;11619.0000000;11750.0000000;11401.0000000;11520.0000000;107787
MGNT;D;20150420;000000;11548.0000000;11792.0000000;11429.0000000;11664.0000000;102507
MGNT;D;20150421;000000;11737.0000000;12260.0000000;11717.0000000;12207.0000000;181238
MGNT;D;20150422;000000;12210.0000000;12340.0000000;11942.0000000;12135.0000000;193513
MGNT;D;20150423;000000;12141.0000000;12184.0000000;11575.0000000;11900.0000000;146933
MGNT;D;20150424;000000;11890.0000000;12050.0000000;11801.0000000;11824.0000000;82682
MGNT;D;20150427;000000;11850.0000000;11989.0000000;11327.0000000;11577.0000000;99715
MGNT;D;20150428;000000;11572.0000000;11683.0000000;11350.0000000;11350.0000000;97204
MGNT;D;20150429;000000;11369.0000000;11560.0000000;11330.0000000;11458.0000000;75483
MGNT;D;20150430;000000;11458.0000000;11590.0000000;11250.0000000;11280.0000000;166952
MGNT;D;20150505;000000;11312.0000000;11387.0000000;10971.0000000;11038.0000000;186130
MGNT;D;20150506;000000;11021.0000000;11288.0000000;10896.0000000;11083.0000000;79319
MGNT;D;20150507;000000;11082.0000000;11165.0000000;10803.0000000;11090.0000000;124335
MGNT;D;20150508;000000;11139.0000000;11475.0000000;11075.0000000;11295.0000000;99740
MGNT;D;20150512;000000;11322.0000000;11354.0000000;11120.0000000;11220.0000000;105094
MGNT;D;20150513;000000;11265.0000000;11265.0000000;11055.0000000;11100.0000000;69986
MGNT;D;20150514;000000;11110.0000000;11457.0000000;11040.0000000;11240.0000000;72367
MGNT;D;20150515;000000;11269.0000000;11460.0000000;11260.0000000;11372.0000000;92297
MGNT;D;20150518;000000;11390.0000000;11400.0000000;10990.0000000;11042.0000000;101696
MGNT;D;20150519;000000;11043.0000000;11175.0000000;10851.0000000;10986.0000000;70601
MGNT;D;20150520;000000;10962.0000000;10996.0000000;10707.0000000;10940.0000000;38063
MGNT;D;20150521;000000;10895.0000000;11084.0000000;10691.0000000;11035.0000000;63413
MGNT;D;20150522;000000;11045.0000000;11116.0000000;10850.0000000;11020.0000000;41520
MGNT;D;20150525;000000;11001.0000000;11008.0000000;10763.0000000;10910.0000000;54016
MGNT;D;20150526;000000;10920.0000000;10989.0000000;10770.0000000;10813.0000000;54509
MGNT;D;20150527;000000;10826.0000000;10837.0000000;10552.0000000;10653.0000000;64737
MGNT;D;20150528;000000;10655.0000000;10790.0000000;10606.0000000;10655.0000000;42459
MGNT;D;20150529;000000;10670.0000000;10943.0000000;10510.0000000;10510.0000000;114556
MGNT;D;20150601;000000;10600.0000000;10780.0000000;10456.0000000;10456.0000000;67171
MGNT;D;20150602;000000;10488.0000000;10943.0000000;10428.0000000;10892.0000000;85804
MGNT;D;20150603;000000;10920.0000000;10978.0000000;10510.0000000;10765.0000000;109844
MGNT;D;20150604;000000;10790.0000000;10885.0000000;10600.0000000;10750.0000000;104211
MGNT;D;20150605;000000;10751.0000000;10897.0000000;10638.0000000;10685.0000000;90874
MGNT;D;20150608;000000;10764.0000000;10875.0000000;10560.0000000;10654.0000000;73734
MGNT;D;20150609;000000;10686.0000000;11080.0000000;10619.0000000;11005.0000000;86865
MGNT;D;20150610;000000;11021.0000000;11100.0000000;10894.0000000;10895.0000000;69072
MGNT;D;20150611;000000;10950.0000000;11130.0000000;10755.0000000;11130.0000000;178496
MGNT;D;20150615;000000;11111.0000000;11243.0000000;10895.0000000;11236.0000000;125578
MGNT;D;20150616;000000;11232.0000000;11566.0000000;11118.0000000;11556.0000000;114527
MGNT;D;20150617;000000;11539.0000000;11780.0000000;11480.0000000;11520.0000000;142501
MGNT;D;20150618;000000;11449.0000000;11543.0000000;11390.0000000;11440.0000000;130268
MGNT;D;20150619;000000;11481.0000000;11488.0000000;11221.0000000;11385.0000000;75419
MGNT;D;20150622;000000;11350.0000000;11416.0000000;11224.0000000;11287.0000000;60928
MGNT;D;20150623;000000;11339.0000000;11376.0000000;11255.0000000;11266.0000000;68107
MGNT;D;20150624;000000;11304.0000000;11370.0000000;11210.0000000;11261.0000000;98684
MGNT;D;20150625;000000;11258.0000000;11345.0000000;11220.0000000;11220.0000000;77590
MGNT;D;20150626;000000;11225.0000000;11739.0000000;11225.0000000;11680.0000000;166689
MGNT;D;20150629;000000;11624.0000000;11649.0000000;11260.0000000;11268.0000000;97277
MGNT;D;20150630;000000;11287.0000000;11481.0000000;11220.0000000;11399.0000000;124570
MGNT;D;20150701;000000;11377.0000000;11545.0000000;11377.0000000;11465.0000000;90640
MGNT;D;20150702;000000;11417.0000000;11516.0000000;11295.0000000;11420.0000000;66894
MGNT;D;20150703;000000;11415.0000000;11437.0000000;11287.0000000;11331.0000000;28501
MGNT;D;20150706;000000;11281.0000000;11421.0000000;11224.0000000;11401.0000000;64217
MGNT;D;20150707;000000;11405.0000000;11480.0000000;11074.0000000;11099.0000000;103118
MGNT;D;20150708;000000;11094.0000000;11162.0000000;10590.0000000;10902.0000000;124018
MGNT;D;20150709;000000;10984.0000000;11076.0000000;10765.0000000;11055.0000000;96355
MGNT;D;20150710;000000;11092.0000000;11405.0000000;11023.0000000;11399.0000000;137641
MGNT;D;20150713;000000;11382.0000000;11697.0000000;11376.0000000;11649.0000000;167926
MGNT;D;20150714;000000;11666.0000000;11670.0000000;11538.0000000;11669.0000000;143883
MGNT;D;20150715;000000;11685.0000000;11698.0000000;11601.0000000;11660.0000000;91690
MGNT;D;20150716;000000;11651.0000000;11786.0000000;11630.0000000;11769.0000000;81959
MGNT;D;20150717;000000;11762.0000000;11850.0000000;11660.0000000;11750.0000000;87047
MGNT;D;20150720;000000;11761.0000000;11780.0000000;11510.0000000;11510.0000000;103744
MGNT;D;20150721;000000;11550.0000000;11747.0000000;11440.0000000;11735.0000000;80447
MGNT;D;20150722;000000;11715.0000000;12196.0000000;11628.0000000;12177.0000000;226698
MGNT;D;20150723;000000;12161.0000000;12280.0000000;11850.0000000;11885.0000000;169313
MGNT;D;20150724;000000;11887.0000000;11945.0000000;11650.0000000;11650.0000000;73704
MGNT;D;20150727;000000;11671.0000000;11870.0000000;11586.0000000;11750.0000000;109841
MGNT;D;20150728;000000;11727.0000000;11755.0000000;11561.0000000;11671.0000000;106194
MGNT;D;20150729;000000;11727.0000000;11849.0000000;11651.0000000;11800.0000000;80307
MGNT;D;20150730;000000;11757.0000000;12070.0000000;11756.0000000;12040.0000000;105025
MGNT;D;20150731;000000;12018.0000000;12217.0000000;11975.0000000;12200.0000000;133458
MGNT;D;20150803;000000;12164.0000000;12322.0000000;12065.0000000;12268.0000000;95596
MGNT;D;20150804;000000;12255.0000000;12480.0000000;12253.0000000;12441.0000000;72771
MGNT;D;20150805;000000;12479.0000000;12944.0000000;12390.0000000;12818.0000000;238626
MGNT;D;20150806;000000;12830.0000000;12889.0000000;12303.0000000;12309.0000000;184531
MGNT;D;20150807;000000;12360.0000000;12628.0000000;12216.0000000;12396.0000000;145954
MGNT;D;20150810;000000;12420.0000000;12471.0000000;12144.0000000;12412.0000000;83601
MGNT;D;20150811;000000;12422.0000000;12587.0000000;12310.0000000;12320.0000000;123368
MGNT;D;20150812;000000;12300.0000000;12350.0000000;12080.0000000;12149.0000000;126896
MGNT;D;20150813;000000;12199.0000000;12289.0000000;12030.0000000;12177.0000000;110288
MGNT;D;20150814;000000;12199.0000000;12425.0000000;12061.0000000;12147.0000000;112171
MGNT;D;20150817;000000;12122.0000000;12179.0000000;11991.0000000;12162.0000000;95336
MGNT;D;20150818;000000;12138.0000000;12205.0000000;12035.0000000;12090.0000000;50077
MGNT;D;20150819;000000;12146.0000000;12245.0000000;11962.0000000;12050.0000000;98882
MGNT;D;20150820;000000;12049.0000000;12149.0000000;11968.0000000;12105.0000000;83129
MGNT;D;20150821;000000;12100.0000000;12131.0000000;11833.0000000;11860.0000000;112147
MGNT;D;20150824;000000;11700.0000000;11897.0000000;11460.0000000;11603.0000000;239182
MGNT;D;20150825;000000;11700.0000000;12070.0000000;11660.0000000;11829.0000000;123821
MGNT;D;20150826;000000;11800.0000000;11893.0000000;11532.0000000;11631.0000000;110672
MGNT;D;20150827;000000;11740.0000000;11946.0000000;11650.0000000;11910.0000000;114162
MGNT;D;20150828;000000;11990.0000000;12190.0000000;11853.0000000;12171.0000000;118659
MGNT;D;20150831;000000;12185.0000000;12327.0000000;12079.0000000;12275.0000000;68253
MGNT;D;20150901;000000;12250.0000000;12300.0000000;11861.0000000;11924.0000000;128569
MGNT;D;20150902;000000;11845.0000000;12128.0000000;11795.0000000;11845.0000000;114542
MGNT;D;20150903;000000;11872.0000000;12020.0000000;11802.0000000;11935.0000000;97754
MGNT;D;20150904;000000;11942.0000000;12116.0000000;11900.0000000;11988.0000000;75673
MGNT;D;20150907;000000;11973.0000000;12146.0000000;11953.0000000;12074.0000000;89159
MGNT;D;20150908;000000;12105.0000000;12254.0000000;11989.0000000;11996.0000000;99409
MGNT;D;20150909;000000;12031.0000000;12092.0000000;11750.0000000;11763.0000000;154321
MGNT;D;20150910;000000;11737.0000000;11838.0000000;11330.0000000;11420.0000000;186888
MGNT;D;20150911;000000;11418.0000000;11550.0000000;11300.0000000;11405.0000000;135984
MGNT;D;20150914;000000;11452.0000000;11500.0000000;11306.0000000;11313.0000000;95437
MGNT;D;20150915;000000;11320.0000000;11393.0000000;11231.0000000;11325.0000000;81253
MGNT;D;20150916;000000;11340.0000000;11720.0000000;11330.0000000;11583.0000000;214831
MGNT;D;20150917;000000;11593.0000000;11705.0000000;11470.0000000;11650.0000000;85290
MGNT;D;20150918;000000;11690.0000000;11805.0000000;11507.0000000;11543.0000000;120687
MGNT;D;20150921;000000;11588.0000000;11636.0000000;11462.0000000;11462.0000000;37689
MGNT;D;20150922;000000;11477.0000000;11486.0000000;11172.0000000;11360.0000000;110705
MGNT;D;20150923;000000;11369.0000000;11507.0000000;11255.0000000;11377.0000000;88107
MGNT;D;20150924;000000;11408.0000000;11526.0000000;11301.0000000;11387.0000000;60800
MGNT;D;20150925;000000;11484.0000000;11817.0000000;11454.0000000;11815.0000000;82041
MGNT;D;20150928;000000;11816.0000000;11849.0000000;11530.0000000;11566.0000000;73861
MGNT;D;20150929;000000;11619.0000000;11795.0000000;11518.0000000;11705.0000000;62377
MGNT;D;20150930;000000;11672.0000000;11856.0000000;11600.0000000;11600.0000000;103103
MGNT;D;20151001;000000;11666.0000000;11855.0000000;11580.0000000;11769.0000000;84530
MGNT;D;20151002;000000;11804.0000000;11819.0000000;11505.0000000;11581.0000000;83255
MGNT;D;20151005;000000;11671.0000000;11750.0000000;11506.0000000;11725.0000000;104978
MGNT;D;20151006;000000;11712.0000000;11830.0000000;11637.0000000;11797.0000000;95168
MGNT;D;20151007;000000;11809.0000000;11835.0000000;11611.0000000;11763.0000000;128240
MGNT;D;20151008;000000;11692.0000000;11729.0000000;11591.0000000;11696.0000000;109887
MGNT;D;20151009;000000;11721.0000000;11767.0000000;11583.0000000;11730.0000000;199358
MGNT;D;20151012;000000;11730.0000000;11835.0000000;11621.0000000;11667.0000000;117520
MGNT;D;20151013;000000;11695.0000000;11829.0000000;11584.0000000;11780.0000000;99635
MGNT;D;20151014;000000;11770.0000000;11920.0000000;11708.0000000;11810.0000000;135169
MGNT;D;20151015;000000;11844.0000000;12217.0000000;11839.0000000;12059.0000000;165603
MGNT;D;20151016;000000;12122.0000000;12169.0000000;11680.0000000;11707.0000000;157218
MGNT;D;20151019;000000;11766.0000000;11950.0000000;11640.0000000;11665.0000000;108458
MGNT;D;20151020;000000;11660.0000000;11816.0000000;11611.0000000;11810.0000000;93257
MGNT;D;20151021;000000;11782.0000000;11850.0000000;11734.0000000;11800.0000000;124601
MGNT;D;20151022;000000;11775.0000000;11880.0000000;11737.0000000;11772.0000000;86490
MGNT;D;20151023;000000;11820.0000000;11999.0000000;11464.0000000;11500.0000000;184458
MGNT;D;20151026;000000;11505.0000000;11547.0000000;10805.0000000;10809.0000000;233113
MGNT;D;20151027;000000;10851.0000000;11370.0000000;10563.0000000;11359.0000000;267061
MGNT;D;20151028;000000;11369.0000000;11499.0000000;11175.0000000;11491.0000000;219331
MGNT;D;20151029;000000;11499.0000000;11499.0000000;11111.0000000;11216.0000000;143772
MGNT;D;20151030;000000;11204.0000000;11300.0000000;11011.0000000;11136.0000000;84618
MGNT;D;20151102;000000;11118.0000000;11355.0000000;11023.0000000;11111.0000000;83496
MGNT;D;20151103;000000;11160.0000000;11499.0000000;11117.0000000;11425.0000000;130070
MGNT;D;20151105;000000;11498.0000000;11711.0000000;11399.0000000;11468.0000000;144942
MGNT;D;20151106;000000;11498.0000000;11529.0000000;11350.0000000;11496.0000000;123560
MGNT;D;20151109;000000;11480.0000000;11537.0000000;11440.0000000;11520.0000000;50607
MGNT;D;20151110;000000;11478.0000000;11512.0000000;11361.0000000;11393.0000000;78128
MGNT;D;20151111;000000;11441.0000000;11495.0000000;11250.0000000;11255.0000000;87771
MGNT;D;20151112;000000;11291.0000000;11300.0000000;11125.0000000;11125.0000000;122417
MGNT;D;20151113;000000;11130.0000000;11283.0000000;10967.0000000;11192.0000000;203548
MGNT;D;20151116;000000;11214.0000000;11350.0000000;11150.0000000;11290.0000000;114477
MGNT;D;20151117;000000;11368.0000000;11485.0000000;11283.0000000;11390.0000000;165420
MGNT;D;20151118;000000;11430.0000000;11549.0000000;11270.0000000;11359.0000000;128530
MGNT;D;20151119;000000;11400.0000000;11580.0000000;11310.0000000;11427.0000000;208277
MGNT;D;20151120;000000;11430.0000000;11901.0000000;11344.0000000;11819.0000000;220773
MGNT;D;20151123;000000;11851.0000000;12325.0000000;11750.0000000;12250.0000000;273201
MGNT;D;20151124;000000;12250.0000000;12308.0000000;11864.0000000;11900.0000000;256190
MGNT;D;20151125;000000;12000.0000000;12200.0000000;11900.0000000;12022.0000000;156807
MGNT;D;20151126;000000;12062.0000000;12250.0000000;12031.0000000;12130.0000000;97192
MGNT;D;20151127;000000;12130.0000000;12180.0000000;11955.0000000;12013.0000000;140424
MGNT;D;20151130;000000;12023.0000000;12147.0000000;11863.0000000;12005.0000000;139897
MGNT;D;20151201;000000;12027.0000000;12100.0000000;11897.0000000;11901.0000000;88621
MGNT;D;20151202;000000;11949.0000000;12199.0000000;11926.0000000;12199.0000000;144004
MGNT;D;20151203;000000;12189.0000000;12307.0000000;12077.0000000;12270.0000000;172454
MGNT;D;20151204;000000;12309.0000000;12371.0000000;11649.0000000;11799.0000000;203621
MGNT;D;20151207;000000;11795.0000000;11875.0000000;11654.0000000;11728.0000000;88228
MGNT;D;20151208;000000;11683.0000000;11736.0000000;11501.0000000;11590.0000000;200977
MGNT;D;20151209;000000;11600.0000000;11603.0000000;11100.0000000;11180.0000000;275829
MGNT;D;20151210;000000;11200.0000000;11230.0000000;11040.0000000;11141.0000000;159781
MGNT;D;20151211;000000;11102.0000000;11189.0000000;10936.0000000;11039.0000000;159123
MGNT;D;20151214;000000;11039.0000000;11125.0000000;10927.0000000;11030.0000000;147503
MGNT;D;20151215;000000;11043.0000000;11394.0000000;11020.0000000;11340.0000000;165264
MGNT;D;20151216;000000;11349.0000000;11447.0000000;11308.0000000;11361.0000000;73161
MGNT;D;20151217;000000;11399.0000000;11446.0000000;11210.0000000;11211.0000000;140636
MGNT;D;20151218;000000;11194.0000000;11197.0000000;10555.0000000;10656.0000000;307236
MGNT;D;20151221;000000;10659.0000000;10849.0000000;10576.0000000;10790.0000000;117476
MGNT;D;20151222;000000;10837.0000000;10849.0000000;10758.0000000;10780.0000000;62598
MGNT;D;20151223;000000;10790.0000000;10928.0000000;10772.0000000;10850.0000000;101287
MGNT;D;20151224;000000;10877.0000000;10877.0000000;10657.0000000;10761.0000000;39827
MGNT;D;20151225;000000;10800.0000000;10848.0000000;10700.0000000;10732.0000000;19512
MGNT;D;20151228;000000;10750.0000000;10782.0000000;10650.0000000;10743.0000000;36273
MGNT;D;20151229;000000;10740.0000000;10972.0000000;10700.0000000;10972.0000000;87752
MGNT;D;20151230;000000;10962.0000000;11228.0000000;10962.0000000;11228.0000000;107706
MGNT;D;20160104;000000;11234.0000000;11398.0000000;10949.0000000;11366.0000000;93091
MGNT;D;20160105;000000;11241.0000000;11385.0000000;11203.0000000;11350.0000000;118710
MGNT;D;20160106;000000;11351.0000000;11351.0000000;11150.0000000;11320.0000000;50898
MGNT;D;20160111;000000;11008.0000000;11079.0000000;10502.0000000;10667.0000000;166338
MGNT;D;20160112;000000;10600.0000000;10600.0000000;10291.0000000;10367.0000000;193829
MGNT;D;20160113;000000;10400.0000000;10515.0000000;10323.0000000;10352.0000000;131260
MGNT;D;20160114;000000;10325.0000000;10329.0000000;10021.0000000;10230.0000000;184962
MGNT;D;20160115;000000;10214.0000000;10225.0000000;9555.0000000;9640.0000000;285150
MGNT;D;20160118;000000;9584.0000000;9940.0000000;9251.0000000;9940.0000000;162027
MGNT;D;20160119;000000;10040.0000000;10530.0000000;9990.0000000;10427.0000000;176486
MGNT;D;20160120;000000;10299.0000000;10427.0000000;10105.0000000;10350.0000000;252378
MGNT;D;20160121;000000;10410.0000000;10971.0000000;10381.0000000;10850.0000000;271957
MGNT;D;20160122;000000;11058.0000000;11100.0000000;10729.0000000;11050.0000000;257948
MGNT;D;20160125;000000;11080.0000000;11080.0000000;10861.0000000;11042.0000000;140480
MGNT;D;20160126;000000;10959.0000000;11080.0000000;10911.0000000;10975.0000000;140337
MGNT;D;20160127;000000;11023.0000000;11285.0000000;10982.0000000;11285.0000000;120360
MGNT;D;20160128;000000;11252.0000000;11662.0000000;11252.0000000;11485.0000000;186969
MGNT;D;20160129;000000;11501.0000000;11720.0000000;11400.0000000;11500.0000000;172816
MGNT;D;20160201;000000;11532.0000000;11674.0000000;11258.0000000;11270.0000000;104967
MGNT;D;20160202;000000;11230.0000000;11470.0000000;11094.0000000;11150.0000000;159142
MGNT;D;20160203;000000;11082.0000000;11200.0000000;10928.0000000;10955.0000000;95307
MGNT;D;20160204;000000;11110.0000000;11299.0000000;10805.0000000;10889.0000000;122208
MGNT;D;20160205;000000;10905.0000000;11000.0000000;10673.0000000;10765.0000000;123930
MGNT;D;20160208;000000;10829.0000000;10854.0000000;10363.0000000;10450.0000000;154115
MGNT;D;20160209;000000;10412.0000000;10485.0000000;10000.0000000;10103.0000000;255307
MGNT;D;20160210;000000;10024.0000000;10220.0000000;10005.0000000;10070.0000000;175864
MGNT;D;20160211;000000;10090.0000000;10198.0000000;9710.0000000;10143.0000000;258425
MGNT;D;20160212;000000;10203.0000000;10290.0000000;9977.0000000;10000.0000000;213428
MGNT;D;20160215;000000;10150.0000000;10151.0000000;9840.0000000;9920.0000000;170362
MGNT;D;20160216;000000;10001.0000000;10058.0000000;9865.0000000;9900.0000000;131876
MGNT;D;20160217;000000;9933.0000000;10052.0000000;9732.0000000;10000.0000000;248690
MGNT;D;20160218;000000;10050.0000000;10362.0000000;10005.0000000;10318.0000000;263029
MGNT;D;20160219;000000;10264.0000000;10415.0000000;10200.0000000;10354.0000000;168436
MGNT;D;20160220;000000;10364.0000000;10408.0000000;10310.0000000;10346.0000000;27466
MGNT;D;20160222;000000;10379.0000000;10718.0000000;10320.0000000;10655.0000000;132068
MGNT;D;20160224;000000;10574.0000000;10675.0000000;10356.0000000;10475.0000000;177103
MGNT;D;20160225;000000;10511.0000000;10659.0000000;10350.0000000;10530.0000000;158780
MGNT;D;20160226;000000;10620.0000000;10799.0000000;10526.0000000;10589.0000000;169758
MGNT;D;20160229;000000;10502.0000000;10680.0000000;10430.0000000;10648.0000000;138667
MGNT;D;20160301;000000;10680.0000000;10780.0000000;10525.0000000;10592.0000000;115369
MGNT;D;20160302;000000;10650.0000000;10740.0000000;10601.0000000;10695.0000000;104595
MGNT;D;20160303;000000;10699.0000000;10808.0000000;10631.0000000;10715.0000000;135626
MGNT;D;20160304;000000;10716.0000000;10799.0000000;10640.0000000;10668.0000000;81966
MGNT;D;20160307;000000;10708.0000000;10758.0000000;10662.0000000;10715.0000000;60500
MGNT;D;20160309;000000;10683.0000000;10755.0000000;10541.0000000;10700.0000000;154821
MGNT;D;20160310;000000;10735.0000000;10975.0000000;10730.0000000;10900.0000000;248610
MGNT;D;20160311;000000;10912.0000000;10945.0000000;10824.0000000;10900.0000000;106647
MGNT;D;20160314;000000;10934.0000000;10950.0000000;10750.0000000;10780.0000000;131396
MGNT;D;20160315;000000;10837.0000000;10920.0000000;10805.0000000;10880.0000000;278860
MGNT;D;20160316;000000;10861.0000000;10923.0000000;10750.0000000;10788.0000000;108700
MGNT;D;20160317;000000;10855.0000000;10990.0000000;10803.0000000;10900.0000000;214652
MGNT;D;20160318;000000;10895.0000000;11400.0000000;10881.0000000;11400.0000000;202215
MGNT;D;20160321;000000;11379.0000000;11379.0000000;11190.0000000;11255.0000000;185106
MGNT;D;20160322;000000;11279.0000000;11310.0000000;11142.0000000;11200.0000000;146415
MGNT;D;20160323;000000;11235.0000000;11298.0000000;10992.0000000;11100.0000000;100841
MGNT;D;20160324;000000;11079.0000000;11085.0000000;10925.0000000;11041.0000000;150497
MGNT;D;20160325;000000;11058.0000000;11118.0000000;10849.0000000;10880.0000000;41369
MGNT;D;20160328;000000;10892.0000000;10928.0000000;10635.0000000;10655.0000000;83395
MGNT;D;20160329;000000;10654.0000000;10714.0000000;10560.0000000;10575.0000000;113585
MGNT;D;20160330;000000;10666.0000000;10671.0000000;10408.0000000;10410.0000000;166655
MGNT;D;20160331;000000;10400.0000000;10697.0000000;10306.0000000;10550.0000000;237722
MGNT;D;20160401;000000;10508.0000000;10700.0000000;10329.0000000;10470.0000000;234522
MGNT;D;20160404;000000;10537.0000000;10614.0000000;10422.0000000;10470.0000000;153403
MGNT;D;20160405;000000;10477.0000000;10521.0000000;10366.0000000;10400.0000000;136652
MGNT;D;20160406;000000;10432.0000000;10499.0000000;10355.0000000;10390.0000000;110310
MGNT;D;20160407;000000;10457.0000000;10473.0000000;10314.0000000;10332.0000000;142309
MGNT;D;20160408;000000;10341.0000000;10420.0000000;10318.0000000;10320.0000000;99691
MGNT;D;20160411;000000;10360.0000000;10360.0000000;10056.0000000;10254.0000000;196837
MGNT;D;20160412;000000;10320.0000000;10320.0000000;10129.0000000;10129.0000000;202499
MGNT;D;20160413;000000;10177.0000000;10612.0000000;10167.0000000;10490.0000000;292790
MGNT;D;20160414;000000;10487.0000000;10575.0000000;10212.0000000;10240.0000000;197634
MGNT;D;20160415;000000;10269.0000000;10300.0000000;10132.0000000;10132.0000000;115895
MGNT;D;20160418;000000;10130.0000000;10243.0000000;10012.0000000;10125.0000000;133850
MGNT;D;20160419;000000;10160.0000000;10225.0000000;10073.0000000;10075.0000000;129129
MGNT;D;20160420;000000;10098.0000000;10169.0000000;10052.0000000;10115.0000000;118500
MGNT;D;20160421;000000;10169.0000000;10250.0000000;10102.0000000;10162.0000000;181321
MGNT;D;20160422;000000;10207.0000000;10295.0000000;10152.0000000;10295.0000000;169931
MGNT;D;20160425;000000;10301.0000000;10310.0000000;9535.0000000;9540.0000000;569336
MGNT;D;20160426;000000;9508.0000000;9632.0000000;9126.0000000;9180.0000000;458209
MGNT;D;20160427;000000;9203.0000000;9210.0000000;8778.0000000;8825.0000000;352310
MGNT;D;20160428;000000;8858.0000000;9140.0000000;8684.0000000;9040.0000000;372910
MGNT;D;20160429;000000;9072.0000000;9085.0000000;8888.0000000;9002.0000000;224609
MGNT;D;20160504;000000;8901.0000000;9192.0000000;8805.0000000;9006.0000000;229082
MGNT;D;20160505;000000;9060.0000000;9175.0000000;9002.0000000;9151.0000000;219767
MGNT;D;20160506;000000;9130.0000000;9173.0000000;9075.0000000;9093.0000000;118208
MGNT;D;20160510;000000;9072.0000000;9168.0000000;8918.0000000;9038.0000000;120480
MGNT;D;20160511;000000;8983.0000000;9098.0000000;8785.0000000;8921.0000000;210518
MGNT;D;20160512;000000;8902.0000000;8977.0000000;8789.0000000;8834.0000000;157997
MGNT;D;20160513;000000;8813.0000000;9065.0000000;8803.0000000;9036.0000000;235119
MGNT;D;20160516;000000;9061.0000000;9478.0000000;9050.0000000;9430.0000000;386465
MGNT;D;20160517;000000;9450.0000000;9515.0000000;9210.0000000;9352.0000000;185547
MGNT;D;20160518;000000;9378.0000000;9426.0000000;9300.0000000;9301.0000000;129279
MGNT;D;20160519;000000;9272.0000000;9272.0000000;9076.0000000;9200.0000000;129066
MGNT;D;20160520;000000;9217.0000000;9236.0000000;9070.0000000;9075.0000000;129597
MGNT;D;20160523;000000;9051.0000000;9103.0000000;8847.0000000;8975.0000000;123567
MGNT;D;20160524;000000;8971.0000000;9230.0000000;8956.0000000;9150.0000000;96607
MGNT;D;20160525;000000;9220.0000000;9238.0000000;9131.0000000;9140.0000000;91284
MGNT;D;20160526;000000;9140.0000000;9328.0000000;9078.0000000;9201.0000000;168514
MGNT;D;20160527;000000;9200.0000000;9494.0000000;9163.0000000;9466.0000000;146631
MGNT;D;20160530;000000;9500.0000000;9500.0000000;9352.0000000;9408.0000000;55926
MGNT;D;20160531;000000;9410.0000000;9499.0000000;9273.0000000;9340.0000000;120365
MGNT;D;20160601;000000;9301.0000000;9390.0000000;9202.0000000;9255.0000000;119221
MGNT;D;20160602;000000;9280.0000000;9293.0000000;9000.0000000;9190.0000000;213439
MGNT;D;20160603;000000;9227.0000000;9350.0000000;9113.0000000;9150.0000000;112165
MGNT;D;20160606;000000;9187.0000000;9298.0000000;9173.0000000;9260.0000000;99869
MGNT;D;20160607;000000;9270.0000000;9508.0000000;9240.0000000;9388.0000000;127693
MGNT;D;20160608;000000;9401.0000000;9562.0000000;9181.0000000;9200.0000000;233309
MGNT;D;20160609;000000;9201.0000000;9206.0000000;8793.0000000;8830.0000000;433193
MGNT;D;20160610;000000;8811.0000000;8939.0000000;8771.0000000;8819.0000000;314191
MGNT;D;20160614;000000;8810.0000000;8869.0000000;8514.0000000;8660.0000000;251112
MGNT;D;20160615;000000;8618.0000000;8929.0000000;8583.0000000;8929.0000000;227971
MGNT;D;20160616;000000;8849.0000000;8999.0000000;8641.0000000;8755.0000000;146309
MGNT;D;20160617;000000;8755.0000000;8849.0000000;8706.0000000;8750.0000000;125474
MGNT;D;20160620;000000;8799.0000000;8947.0000000;8750.0000000;8850.0000000;132572
MGNT;D;20160621;000000;8841.0000000;8885.0000000;8602.0000000;8709.0000000;127228
MGNT;D;20160622;000000;8711.0000000;8794.0000000;8415.0000000;8488.0000000;153572
MGNT;D;20160623;000000;8431.0000000;8515.0000000;8310.0000000;8450.0000000;140062
MGNT;D;20160624;000000;8003.0000000;8450.0000000;8003.0000000;8280.0000000;134999
MGNT;D;20160627;000000;8290.0000000;8350.0000000;8203.0000000;8320.0000000;116768
MGNT;D;20160628;000000;8284.0000000;8486.0000000;8250.0000000;8300.0000000;119865
MGNT;D;20160629;000000;8379.0000000;8700.0000000;8310.0000000;8700.0000000;177690
